grid_id,x_coord,y_coord,year,count_31,count_32,count_33,count_total,cluster_n,is_cluster,value_added_31,labor_total_31,wages_total_31,machinery_31,computers_31,value_added_32,labor_total_32,wages_total_32,machinery_32,computers_32,value_added_33,labor_total_33,wages_total_33,machinery_33,computers_33,dist_usa_km,dist_cdmx_km,dist_port_km
23,1053792.029,2341649.062,2010,0,0,0,0,0,0,,,,,,,,,,,,,,,,26.24954106,2310.356224,1966.538928
23,1053792.029,2341649.062,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.24954106,2310.356224,1966.538928
23,1053792.029,2341649.062,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.24954106,2310.356224,1966.538928
23,1053792.029,2341649.062,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.24954106,2310.356224,1966.538928
24,1058792.029,2336649.062,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.03614887,2303.303335,1959.52512
24,1058792.029,2336649.062,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.03614887,2303.303335,1959.52512
24,1058792.029,2336649.062,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.03614887,2303.303335,1959.52512
24,1058792.029,2336649.062,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.03614887,2303.303335,1959.52512
25,1068792.029,2341649.062,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.85908671,2299.038874,1957.398553
25,1068792.029,2341649.062,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.85908671,2299.038874,1957.398553
25,1068792.029,2341649.062,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.85908671,2299.038874,1957.398553
25,1068792.029,2341649.062,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.85908671,2299.038874,1957.398553
26,1068792.029,2346649.062,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.78016848,2302.33157,1961.374603
26,1068792.029,2346649.062,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.78016848,2302.33157,1961.374603
26,1068792.029,2346649.062,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.78016848,2302.33157,1961.374603
26,1068792.029,2346649.062,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.78016848,2302.33157,1961.374603
27,1073792.029,2321649.062,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.60354275,2282.145343,1938.486194
27,1073792.029,2321649.062,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.60354275,2282.145343,1938.486194
27,1073792.029,2321649.062,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.60354275,2282.145343,1938.486194
27,1073792.029,2321649.062,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.60354275,2282.145343,1938.486194
28,1073792.029,2326649.062,2010,18,9,8,35,35,1,3.813157895,53.28947368,1.104868421,0.970105263,0.001184211,0,0,0,0,0,0,0,0,0,0,20.76332094,2285.418623,1942.449475
28,1073792.029,2326649.062,2015,20,10,6,36,36,1,0,0,0,0,0,2.392325581,30.81395349,0.185232558,0.748488372,0.02755814,0.450054545,8.890909091,0.153054545,0.090054545,0.005018182,20.76332094,2285.418623,1942.449475
28,1073792.029,2326649.062,2019,18,10,9,37,37,1,10.357344,76.032,3.230496,2.101968,0.046512,12.06626263,44.54545455,5.44959596,2.276060606,0.206767677,14.058225,77.175,8.442075,2.09445,0.07575,20.76332094,2285.418623,1942.449475
28,1073792.029,2326649.062,2025,14,12,8,34,34,1,10.53918056,43.26388889,2.813222222,1.622833333,0.017986111,5.568738462,34.52307692,2.383846154,1.334953846,0.109938462,8.440731707,47.56097561,6.347170732,0.856536585,0.052097561,20.76332094,2285.418623,1942.449475
29,1073792.029,2331649.062,2010,12,6,12,30,30,1,2.542105263,35.52631579,0.736578947,0.646736842,0.000789474,0,0,0,0,0,0,0,0,0,0,16.02153524,2288.698145,1946.41753
29,1073792.029,2331649.062,2015,13,10,16,39,39,1,0,0,0,0,0,2.392325581,30.81395349,0.185232558,0.748488372,0.02755814,1.200145455,23.70909091,0.408145455,0.240145455,0.013381818,16.02153524,2288.698145,1946.41753
29,1073792.029,2331649.062,2019,22,10,10,42,42,1,12.658976,92.928,3.948384,2.569072,0.056848,12.06626263,44.54545455,5.44959596,2.276060606,0.206767677,15.62025,85.75,9.380083333,2.327166667,0.084166667,16.02153524,2288.698145,1946.41753
29,1073792.029,2331649.062,2025,25,14,12,51,51,1,18.81996528,77.25694444,5.023611111,2.897916667,0.032118056,6.496861538,40.27692308,2.781153846,1.557446154,0.128261538,12.66109756,71.34146341,9.520756098,1.284804878,0.078146341,16.02153524,2288.698145,1946.41753
30,1073792.029,2336649.062,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.50059505,2291.983882,1950.39033
30,1073792.029,2336649.062,2015,3,1,1,5,3,1,5.0191897,27.25423729,2.303051499,1.268708605,0.152288136,5.075783117,35.97532468,3.179153247,1.89402987,0.097136364,13.25662539,84.81619938,9.362604361,1.967018692,0.398958723,11.50059505,2291.983882,1950.39033
30,1073792.029,2336649.062,2019,3,0,0,3,0,0,11.9720761,34.13258026,3.695928656,3.399174792,0.150092747,0,0,0,0,0,0,0,0,0,0,11.50059505,2291.983882,1950.39033
30,1073792.029,2336649.062,2025,3,0,1,4,2,1,22.48256455,36.17396061,6.153059081,3.042543217,0.23326477,0,0,0,0,0,67.0680188,157.1350975,37.16706755,7.702908774,1.36764624,11.50059505,2291.983882,1950.39033
31,1073792.029,2341649.062,2010,8,2,4,14,14,1,9.177669725,56.22018349,3.580862385,2.535039755,0.080825688,3.348309484,22.44925125,1.961823627,0.743893511,0.090612313,66.30159401,360.1571562,38.00310945,6.102312442,0.739913938,7.605115476,2295.275807,1954.367846
31,1073792.029,2341649.062,2015,7,8,3,18,18,1,11.71144263,63.59322034,5.373786832,2.960320078,0.355338983,40.60626494,287.8025974,25.43322597,15.15223896,0.777090909,39.76987617,254.4485981,28.08781308,5.901056075,1.196876168,7.605115476,2295.275807,1954.367846
31,1073792.029,2341649.062,2019,6,6,4,16,16,1,23.9441522,68.26516052,7.391857313,6.798349584,0.300185493,31.81113882,69.23294118,10.67788235,3.575936471,0.829284706,125.414957,532.824472,82.17341005,16.10595484,2.570531682,7.605115476,2295.275807,1954.367846
31,1073792.029,2341649.062,2025,12,4,10,26,26,1,89.93025821,144.6958425,24.61223632,12.17017287,0.933059081,74.389504,190.9897143,42.04119771,12.56973714,1.106614857,670.680188,1571.350975,371.6706755,77.02908774,13.6764624,7.605115476,2295.275807,1954.367846
32,1073792.029,2346649.062,2010,71,22,32,125,125,1,81.45181881,498.9541284,31.78015367,22.49847783,0.717327982,36.83140433,246.9417637,21.5800599,8.182828619,0.996735441,530.4127521,2881.25725,304.0248756,48.81849953,5.919311506,5.780300715,2298.573894,1958.350049
